,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,1.00,0.93,0.72,0.72,0.50,0.97,0.75,0.68,0.61,0.95,0.81,0.94,0.93,0.88,0.94,0.38,0.39,0.62
2,0.93,1.00,0.85,0.70,0.61,0.96,0.69,0.85,0.77,0.87,0.74,0.82,0.86,0.91,0.86,0.56,0.59,0.79
3,0.72,0.85,1.00,0.78,0.90,0.68,0.64,0.98,0.95,0.67,0.60,0.64,0.74,0.89,0.66,0.90,0.87,0.94
4,0.72,0.70,0.78,1.00,0.86,0.62,0.89,0.72,0.69,0.71,0.69,0.62,0.75,0.80,0.66,0.69,0.59,0.68
5,0.50,0.61,0.90,0.86,1.00,0.41,0.71,0.87,0.89,0.51,0.55,0.44,0.62,0.78,0.49,0.95,0.89,0.87
6,0.97,0.96,0.68,0.62,0.41,1.00,0.65,0.67,0.58,0.89,0.72,0.87,0.85,0.83,0.88,0.33,0.35,0.60
7,0.75,0.69,0.64,0.89,0.71,0.65,1.00,0.63,0.60,0.86,0.92,0.74,0.85,0.83,0.80,0.52,0.49,0.61
8,0.68,0.85,0.98,0.72,0.87,0.67,0.63,1.00,0.98,0.66,0.62,0.61,0.74,0.90,0.66,0.91,0.92,0.98
9,0.61,0.77,0.95,0.69,0.89,0.58,0.60,0.98,1.00,0.62,0.61,0.57,0.73,0.89,0.64,0.93,0.96,1.00
10,0.95,0.87,0.67,0.71,0.51,0.89,0.86,0.66,0.62,1.00,0.95,0.96,0.98,0.91,0.99,0.39,0.42,0.64
11,0.81,0.74,0.60,0.69,0.55,0.72,0.92,0.62,0.61,0.95,1.00,0.86,0.94,0.87,0.93,0.42,0.46,0.63
12,0.94,0.82,0.64,0.62,0.44,0.87,0.74,0.61,0.57,0.96,0.86,1.00,0.94,0.86,0.97,0.35,0.35,0.59
13,0.93,0.86,0.74,0.75,0.62,0.85,0.85,0.74,0.73,0.98,0.94,0.94,1.00,0.96,0.99,0.51,0.55,0.74
14,0.88,0.91,0.89,0.80,0.78,0.83,0.83,0.90,0.89,0.91,0.87,0.86,0.96,1.00,0.91,0.72,0.75,0.89
15,0.94,0.86,0.66,0.66,0.49,0.88,0.80,0.66,0.64,0.99,0.93,0.97,0.99,0.91,1.00,0.39,0.45,0.66
16,0.38,0.56,0.90,0.69,0.95,0.33,0.52,0.91,0.93,0.39,0.42,0.35,0.51,0.72,0.39,1.00,0.96,0.91
17,0.39,0.59,0.87,0.59,0.89,0.35,0.49,0.92,0.96,0.42,0.46,0.35,0.55,0.75,0.45,0.96,1.00,0.96
18,0.62,0.79,0.94,0.68,0.87,0.60,0.61,0.98,1.00,0.64,0.63,0.59,0.74,0.89,0.66,0.91,0.96,1.00
