ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,tree_count,tree/sqft
11201,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,4514,0.000109843
11203,0,Brooklyn,78060,60644835.46,NY,Kings,36,47,http://www.usps.com/,5141,8.47723E-05
11204,0,Brooklyn,77354,43555184.61,NY,Kings,36,47,http://www.usps.com/,4731,0.000108621
11205,0,Brooklyn,41125,23270147.95,NY,Kings,36,47,http://www.usps.com/,2640,0.00011345
11206,0,Brooklyn,83575,40700720.97,NY,Kings,36,47,http://www.usps.com/,4068,9.99491E-05
11207,0,Brooklyn,93556,73966260.54,NY,Kings,36,47,http://www.usps.com/,8634,0.000116729
11208,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,8242,0.00010393
11209,0,Brooklyn,69255,57842313.96,NY,Kings,36,47,http://www.usps.com/,6201,0.000107205
11210,0,Brooklyn,67067,47887022.99,NY,Kings,36,47,http://www.usps.com/,5452,0.000113851
11211,0,Brooklyn,60861,40470881.67,NY,Kings,36,47,http://www.usps.com/,4145,0.000102419
11212,0,Brooklyn,83866,41972104.07,NY,Kings,36,47,http://www.usps.com/,4205,0.000100186
11213,0,Brooklyn,62426,29631004.44,NY,Kings,36,47,http://www.usps.com/,3652,0.000123249
11214,0,Brooklyn,89061,61096539.39,NY,Kings,36,47,http://www.usps.com/,4341,7.10515E-05
11215,0,Brooklyn,63272,61922821.75,NY,Kings,36,47,http://www.usps.com/,6360,0.000102708
11216,0,Brooklyn,53862,26478229.26,NY,Kings,36,47,http://www.usps.com/,3512,0.000132637
11217,0,Brooklyn,36615,21648157.8,NY,Kings,36,47,http://www.usps.com/,3244,0.000149851
11218,0,Brooklyn,72280,36868798.99,NY,Kings,36,47,http://www.usps.com/,4868,0.000132036
11219,0,Brooklyn,92561,42002738.47,NY,Kings,36,47,http://www.usps.com/,4463,0.000106255
11220,0,Brooklyn,97257,47453785.79,NY,Kings,36,47,http://www.usps.com/,4677,9.8559E-05
11221,0,Brooklyn,80232,38580480.43,NY,Kings,36,47,http://www.usps.com/,5098,0.000132139
11222,0,Brooklyn,36315,42825293.24,NY,Kings,36,47,http://www.usps.com/,3704,8.64909E-05
11223,0,Brooklyn,79864,58702923.47,NY,Kings,36,47,http://www.usps.com/,5981,0.000101886
11224,0,Brooklyn,49600,46701983.75,NY,Kings,36,47,http://www.usps.com/,1949,4.17327E-05
11225,0,Brooklyn,56527,23698630.12,NY,Kings,36,47,http://www.usps.com/,2868,0.00012102
11226,0,Brooklyn,106132,39408598.28,NY,Kings,36,47,http://www.usps.com/,3875,9.83288E-05
11228,0,Brooklyn,43080,43893024.73,NY,Kings,36,47,http://www.usps.com/,3785,8.62324E-05
11229,0,Brooklyn,79608,60119326.14,NY,Kings,36,47,http://www.usps.com/,6099,0.000101448
11230,0,Brooklyn,80857,49926703.39,NY,Kings,36,47,http://www.usps.com/,7336,0.000146935
11231,0,Brooklyn,33144,39379691.79,NY,Kings,36,47,http://www.usps.com/,3660,9.29413E-05
11232,0,Brooklyn,29521,55879065.15,NY,Kings,36,47,http://www.usps.com/,2110,3.77601E-05
11233,0,Brooklyn,66737,37871693.68,NY,Kings,36,47,http://www.usps.com/,4732,0.000124948
11234,0,Brooklyn,85853,206201040.1,NY,Kings,36,47,http://www.usps.com/,11246,5.4539E-05
11235,0,Brooklyn,76130,69053803.03,NY,Kings,36,47,http://www.usps.com/,5157,7.46809E-05
11236,0,Brooklyn,94480,96373991.62,NY,Kings,36,47,http://www.usps.com/,6859,7.11707E-05
11237,0,Brooklyn,49335,27425868.17,NY,Kings,36,47,http://www.usps.com/,2948,0.00010749
11238,0,Brooklyn,46664,29429423.46,NY,Kings,36,47,http://www.usps.com/,3872,0.000131569
11239,0,Brooklyn,12562,41794660.77,NY,Kings,36,47,http://www.usps.com/,990,2.36872E-05
11249,0,Brooklyn,28481,17772206.17,NY,Kings,36,47,http://www.usps.com/,1842,0.000103645
11251,0,Brooklyn,74,10245952.25,NY,Kings,36,47,http://www.usps.com/,93,9.07676E-06
