dates,11201_entries,11201_exits,11212_entries,11212_exits,11215_entries,11215_exits,11217_entries,11217_exits,11226_entries,11226_exits,11231_entries,11231_exits,11233_entries,11233_exits,11236_entries,11236_exits
3/2/2020,16141,7686,26681,26183,19292,19235,5828,3884,20781,7017,12058,5455,7983,6804,3144,3113
3/3/2020,16615,7387,26859,26412,19736,19674,5971,4096,21131,6975,12470,5389,8085,6914,3308,3092
3/4/2020,17359,8451,26934,26884,20206,20213,6100,4232,21270,7039,12427,5457,8253,6840,3062,2948
3/5/2020,16943,8186,26999,26462,19955,20414,6118,4213,21216,6830,12406,5513,8022,6827,3185,3040
3/6/2020,15365,7806,25885,25143,18846,19592,5775,4074,20637,6682,11516,5236,7880,6736,3108,2930
3/7/2020,10439,6841,13900,15496,11735,12492,3461,2833,10878,4179,5853,2865,5319,4356,1292,1326
3/8/2020,8790,6748,9665,9792,7584,8277,2438,2018,7848,3317,3567,1906,3987,2927,965,991
3/9/2020,15717,8379,25646,23801,16386,16357,5097,3357,20415,6764,10320,4384,7728,6387,3156,3130
3/10/2020,14067,7578,25202,23832,16360,16135,4968,3304,20195,6646,10352,4482,7557,6170,3197,3188
3/11/2020,13523,7654,25188,23728,15488,15817,4822,3246,20031,6715,9794,4496,7621,6123,3075,3128
3/12/2020,10838,6643,23811,22569,13774,14511,4342,2929,18461,6327,8461,4203,7029,5850,2838,2882
3/13/2020,8232,5889,21340,21071,10972,12431,3511,2477,16987,5847,5614,2953,6432,5198,2674,2628
3/14/2020,4906,4131,10191,11188,5408,7052,1592,1349,8050,3181,2213,1526,3728,3109,1078,1189
3/15/2020,3139,2760,7517,8519,3669,4504,1161,1014,5745,2544,0,0,2740,2514,787,909
3/16/2020,4608,3579,15543,15732,6285,7386,1970,1369,11778,4460,2777,1640,4457,3930,2006,2055
3/17/2020,3653,2970,13950,14268,5350,6334,1699,1144,10459,4028,2221,1341,4055,3528,1887,1985
3/18/2020,3383,2660,13882,14225,4868,6133,1599,1147,9818,3835,1997,1274,3744,3375,1740,1914
3/19/2020,2752,2187,12804,13316,4362,5594,1525,1085,8967,3559,1733,1155,3584,3217,1621,1826
3/20/2020,2620,2083,12121,12841,3903,5141,1349,949,8748,3506,1501,1080,3431,2902,1485,1668
3/21/2020,999,859,5990,7335,1876,2738,496,475,4284,2120,698,556,2031,1993,659,843
3/22/2020,634,555,4064,5089,1251,1775,347,391,2826,1426,537,417,1482,1489,422,571
3/23/2020,1389,1195,7589,8404,2296,3207,774,549,5139,2139,812,644,2056,2008,981,1132
3/24/2020,1488,1230,8031,8826,2310,3214,806,606,5460,2140,898,619,2239,2137,1043,1270
3/25/2020,1372,1107,7569,8407,2302,3218,804,569,5152,2040,808,612,2062,2041,998,1215
3/26/2020,1366,1174,7669,8515,2179,3109,820,632,5042,1965,791,575,2092,1919,991,1195
3/27/2020,1304,1085,7431,8201,2131,3015,673,583,4880,1870,750,560,2070,1855,938,1172
3/28/2020,446,351,3780,4788,1084,1832,372,367,2552,1317,363,324,1127,1273,415,639
3/29/2020,335,316,3050,3880,816,1237,231,233,1956,1093,310,320,890,993,341,456
3/30/2020,958,815,6523,7326,1800,2552,612,474,4148,1662,636,476,1707,1682,849,1056
3/31/2020,772,696,5955,6908,1703,2454,586,466,3881,1518,626,480,1682,1673,829,1052
4/1/2020,803,697,6334,7308,1695,2463,602,455,3940,1613,581,473,1752,1808,835,1073
4/2/2020,735,693,6096,6917,1548,2255,562,399,3754,1586,527,381,1639,1619,793,983
4/3/2020,731,661,6021,7084,1630,2431,560,457,3804,1563,555,497,1657,1685,801,928
4/4/2020,397,369,3334,4518,883,1531,279,253,2216,1101,308,292,978,1032,382,585
4/5/2020,307,283,2624,3634,723,1158,208,214,1667,845,294,244,813,1017,334,443
4/6/2020,630,602,5554,6480,1426,2311,502,431,3378,1494,512,389,1555,1593,748,958
4/7/2020,591,614,5521,6738,1461,2188,487,357,3352,1423,522,352,1534,1632,707,1006
4/8/2020,639,587,5418,6500,1445,2152,477,358,3293,1312,506,384,1528,1662,704,957
4/9/2020,596,576,5270,6077,1311,2073,412,341,3178,1359,431,333,1367,1438,667,914
4/10/2020,587,587,5029,6243,1285,1958,526,367,3091,1307,447,397,1512,1549,644,885
4/11/2020,351,388,3153,4181,874,1571,272,280,2055,1010,322,289,960,1059,367,576
4/12/2020,311,332,2325,3313,621,1078,198,236,1454,763,264,208,726,882,280,408
4/13/2020,547,536,4509,5465,1229,1965,408,311,2763,1182,396,309,1306,1350,590,757
4/14/2020,608,643,5324,6592,1380,2239,515,359,3236,1396,491,380,1528,1649,723,1042
4/15/2020,635,640,5141,6429,1370,2066,473,348,3067,1343,508,388,1412,1532,725,947
4/16/2020,599,621,5097,6557,1361,2135,487,421,3268,1505,447,351,1385,1554,731,951
4/17/2020,635,616,5215,6724,1416,2253,466,422,3337,1462,491,428,1544,1577,645,919
4/18/2020,383,389,3007,4220,810,1464,242,271,2004,1065,299,260,1010,1191,387,560
4/19/2020,386,442,2686,3836,739,1191,227,287,1616,849,270,249,815,996,315,438
4/20/2020,677,666,5468,6827,1465,2345,600,500,3252,1549,461,421,1491,1636,762,949
4/21/2020,626,662,5253,6453,1476,2327,547,434,3162,1469,481,371,1369,1593,704,957
4/22/2020,697,714,5541,6930,1550,2448,553,427,3377,1512,545,439,1551,1565,730,1000
4/23/2020,653,718,5632,6764,1492,2382,573,486,3364,1571,533,429,1493,1595,704,997
4/24/2020,679,687,5384,6830,1485,2367,562,442,3313,1511,502,416,1524,1623,705,980
4/25/2020,469,475,3398,4676,1006,1681,341,308,2195,1193,333,314,1056,1202,401,591
4/26/2020,310,353,2484,3714,697,1179,237,293,1693,947,248,237,779,972,284,425
4/27/2020,666,669,5764,6982,1594,2424,575,452,3417,1604,527,443,1512,1618,725,977
4/28/2020,767,792,5909,6983,1660,2588,627,457,3600,1619,558,449,1555,1612,780,973
4/29/2020,714,699,5590,6892,1640,2536,625,457,3432,1554,538,447,1436,1556,780,987
4/30/2020,711,689,5537,6730,1577,2506,530,438,3398,1636,527,406,1535,1569,760,986
5/1/2020,731,691,5821,7353,1437,2364,650,510,3694,1656,544,480,1721,1796,789,1016
5/2/2020,551,625,3546,5283,1065,1839,359,369,2316,1339,375,335,1023,1254,347,635
5/3/2020,461,505,2825,4275,830,1461,331,324,1786,1013,301,275,866,1085,301,510
5/4/2020,832,749,5922,7473,1719,2626,695,552,3749,1703,573,475,1660,1735,795,1026
5/5/2020,837,824,6117,7700,1711,2715,642,527,3628,1706,585,430,1654,1728,844,1118
5/6/2020,799,721,5663,7018,1664,2677,645,541,3515,1625,533,420,1605,1665,775,1006
5/7/2020,834,905,6148,7467,1796,2633,628,538,3565,1607,579,453,1696,1721,839,1031
5/8/2020,818,772,5891,7508,1725,2693,630,516,3665,1593,608,524,1710,1693,783,1002
5/9/2020,509,460,3558,5088,1021,1808,370,334,2245,1328,360,333,1055,1247,400,687
5/10/2020,474,472,3010,4353,875,1412,327,285,1843,965,305,273,961,1075,330,506
5/11/2020,905,823,5744,7297,1714,2642,626,465,3564,1611,579,473,1576,1744,816,1004
5/12/2020,1000,973,6281,7549,1828,2938,636,497,3715,1642,630,472,1705,1736,824,1098
5/13/2020,1020,1007,6313,7751,1877,2793,656,526,3766,1663,641,526,1718,1784,811,1053
5/14/2020,1046,1009,6487,7648,1722,2841,521,606,3828,1730,636,532,1767,1646,846,1023
5/15/2020,1035,1037,6442,8064,1840,2970,616,562,4030,1868,626,544,1811,1869,842,1062
5/16/2020,603,680,3688,5294,1095,2037,332,433,2399,1318,402,391,1083,1222,395,693
5/17/2020,505,618,2939,4364,900,1482,261,305,1823,973,354,318,907,1068,333,488
5/18/2020,1102,1006,6458,7962,1939,2879,716,582,3929,1703,671,531,1729,1759,867,1056
5/19/2020,1121,1103,6543,8045,1962,2893,696,494,3993,1858,745,557,1761,1848,874,1112
5/20/2020,1187,1143,6528,8067,1976,3011,683,519,4108,1853,721,561,1803,1888,846,1047
5/21/2020,1228,1192,6619,8117,2010,3026,724,530,4171,1855,755,618,1849,1862,829,1091
5/22/2020,1199,1130,6666,8487,2115,3132,764,581,4193,1725,742,612,1931,1967,879,1111
5/23/2020,469,519,3545,5235,1144,1906,375,411,2361,1189,395,340,1089,1300,428,657
5/24/2020,654,744,3070,4501,892,1600,308,423,1970,1056,356,289,974,1112,364,487
5/25/2020,739,794,4121,5438,1174,1948,392,405,2591,1250,420,376,1222,1322,511,637
5/26/2020,1231,1282,6806,8227,2196,3197,763,596,4164,1875,725,595,1961,2039,901,1173
5/27/2020,1299,1253,6788,8354,2324,3277,815,606,4390,1860,840,662,1920,2038,922,1145
5/28/2020,1196,1106,6708,8321,2180,3275,718,645,4410,1768,754,636,1827,1939,883,1079
5/29/2020,1251,1220,6409,8251,2074,3194,718,609,4207,1787,772,626,1946,1966,827,1118
5/30/2020,682,825,3998,5818,1233,2119,373,474,2595,1450,439,413,1295,1389,450,748
5/31/2020,630,714,3138,4770,1011,1652,337,439,2107,1109,394,339,979,1069,375,543
6/1/2020,1342,1248,6727,8627,2171,3256,767,589,4300,1852,839,665,1896,2181,948,1218
6/2/2020,1347,1333,6649,8729,2543,3627,783,744,4494,1950,873,663,2005,1861,877,1204
6/3/2020,1382,1223,6881,8567,2459,3417,566,506,4205,1832,858,687,1889,1870,883,1163
6/4/2020,1575,1773,7080,9015,2563,3629,814,696,4793,2034,948,738,1887,1964,954,1174
6/5/2020,1422,1334,6657,8661,2556,3584,752,619,4640,1969,931,692,2000,1968,910,1140
6/6/2020,898,860,4182,5804,1635,2514,493,510,2929,1564,622,476,1348,1492,491,742
6/7/2020,738,826,3402,4742,1209,1884,387,405,2365,1369,476,360,1070,1183,363,487
6/8/2020,1732,1584,7219,8981,2542,3571,773,638,4817,2144,1025,766,1996,2128,965,1170
6/9/2020,1790,1744,7702,9214,2806,3951,898,688,4945,2158,1096,844,2024,2101,947,1239
6/10/2020,1833,1827,7389,9243,2810,3889,819,672,5011,2150,1161,855,2144,2091,1004,1256
6/11/2020,1712,1589,6912,8852,2528,3625,763,677,4877,2102,1064,811,2034,2103,929,1131
6/12/2020,1851,1949,7639,9452,2956,4150,842,709,5338,2352,1214,937,2467,2291,1024,1283
6/13/2020,1103,1163,4431,6357,1652,2698,474,551,3223,1448,686,521,1448,1551,455,758
6/14/2020,866,1059,3983,5725,1360,1960,452,494,2621,1253,498,423,1150,1264,395,548
6/15/2020,1971,1848,7577,9349,2916,3948,916,740,5280,2269,1281,912,2185,2258,989,1245
6/16/2020,2046,1982,8187,9530,3020,4182,925,743,5393,2400,1279,908,2369,2253,999,1335
6/17/2020,2060,2029,8088,9852,3082,4202,860,795,5388,2401,1344,952,2264,2203,1029,1323
6/18/2020,2004,1997,8143,9463,2997,4169,881,711,5521,2237,1310,1022,2277,2221,1070,1295
6/19/2020,2228,2932,8136,9777,3205,4314,1011,774,5798,2461,1381,1053,2247,2253,1062,1402
6/20/2020,1117,1411,4945,6651,1689,2758,594,589,3386,1505,759,545,1520,1672,542,846
6/21/2020,886,1172,3910,5391,1366,2056,519,505,2501,1251,535,444,1203,1353,451,633
6/22/2020,2193,2258,7725,9691,3122,4381,962,824,5549,2298,1433,1012,2286,2355,912,1320
6/23/2020,2342,2353,8064,10077,3381,4459,981,847,5637,2461,1407,951,2429,2478,1074,1412
6/24/2020,2334,2368,8475,10094,3304,4548,978,875,5935,2451,1472,1042,2427,2495,1081,1375
6/25/2020,2410,2371,8074,10008,3409,4761,1056,906,5813,2466,1578,1147,2385,2449,1040,1367
6/26/2020,2461,2533,8178,10584,3423,4855,1018,833,5941,2419,1571,1117,2571,2448,1082,1376
6/27/2020,1089,1261,4523,6544,1948,2966,563,600,3349,1530,777,634,1353,1543,552,756
6/28/2020,954,1193,3934,5885,1699,2377,513,532,2790,1406,677,538,1202,1379,447,611
6/29/2020,2558,2513,8479,10396,3607,4835,1095,822,6088,2083,1532,1112,2501,2462,1030,1347
6/30/2020,2419,2326,8749,10185,3435,4875,1022,879,5694,2283,1589,1127,2430,2608,1073,1390
