dates,CD6_entries,CD6_exits
01/01/2020,10500,9312
01/02/2020,29200,22812
01/03/2020,30225,23546
01/04/2020,17596,14966
01/05/2020,14034,12194
01/06/2020,32750,25045
01/07/2020,34094,26204
01/08/2020,34138,25834
01/09/2020,33932,25679
01/10/2020,33507,25556
01/11/2020,18950,16804
01/12/2020,14278,12687
01/13/2020,32554,24674
01/14/2020,33932,26078
01/15/2020,34342,25944
01/16/2020,34996,26643
01/17/2020,33459,25464
01/18/2020,16664,14456
01/19/2020,14097,12293
01/20/2020,20166,17032
01/21/2020,33388,25738
01/22/2020,34061,25815
01/23/2020,33809,25720
01/24/2020,33153,25775
01/25/2020,16697,15029
01/26/2020,14595,12960
01/27/2020,32190,24526
01/28/2020,33910,26069
01/29/2020,34765,26515
01/30/2020,34278,25549
01/31/2020,33637,26064
02/01/2020,18573,16485
02/02/2020,14314,12375
02/03/2020,32846,25385
02/04/2020,34305,26627
02/05/2020,35209,26607
02/06/2020,34638,26933
02/07/2020,33660,25524
02/08/2020,19551,17089
02/09/2020,14299,12897
02/10/2020,32747,24824
02/11/2020,34001,25499
02/12/2020,34948,26307
02/13/2020,34930,26424
02/14/2020,33593,25970
02/15/2020,16917,15676
02/16/2020,14345,12830
02/17/2020,19025,15863
02/18/2020,29143,22866
02/19/2020,30601,23344
02/20/2020,30276,23190
02/21/2020,29145,22885
02/22/2020,17402,16049
02/23/2020,13242,12158
02/24/2020,33040,25216
02/25/2020,34245,25963
02/26/2020,34809,26200
02/27/2020,34968,26277
02/28/2020,33589,25635
02/29/2020,17112,15502
03/01/2020,13091,12262
03/02/2020,33058,25422
03/03/2020,33943,25812
03/04/2020,34372,26429
03/05/2020,34153,26719
03/06/2020,32144,25541
03/07/2020,18293,15730
03/08/2020,11701,10426
03/09/2020,28357,21458
03/10/2020,28264,21271
03/11/2020,26926,20987
03/12/2020,23756,19397
03/13/2020,18029,16011
03/14/2020,8154,8810
03/15/2020,4087,4724
03/16/2020,10006,9453
03/17/2020,8453,8056
03/18/2020,7735,7820
03/19/2020,6952,7138
03/20/2020,6194,6608
03/21/2020,2805,3412
03/22/2020,1973,2323
03/23/2020,3550,4075
03/24/2020,3670,4075
03/25/2020,3572,4058
03/26/2020,3468,3941
03/27/2020,3272,3849
03/28/2020,1672,2299
03/29/2020,1275,1661
03/30/2020,2812,3225
03/31/2020,2710,3122
04/01/2020,2661,3116
04/02/2020,2439,2793
04/03/2020,2533,3101
04/04/2020,1363,1910
04/05/2020,1149,1480
04/06/2020,2271,2864
04/07/2020,2295,2681
04/08/2020,2265,2680
04/09/2020,1997,2560
04/10/2020,2079,2517
04/11/2020,1371,1943
04/12/2020,1032,1370
04/13/2020,1882,2393
04/14/2020,2197,2771
04/15/2020,2184,2593
04/16/2020,2117,2678
04/17/2020,2183,2864
04/18/2020,1266,1848
04/19/2020,1154,1568
04/20/2020,2313,2982
04/21/2020,2322,2893
04/22/2020,2467,3090
04/23/2020,2419,3036
04/24/2020,2366,3003
04/25/2020,1550,2132
04/26/2020,1102,1562
04/27/2020,2496,3088
04/28/2020,2639,3260
04/29/2020,2607,3200
04/30/2020,2443,3123
05/01/2020,2413,3071
05/02/2020,1670,2342
05/03/2020,1348,1886
05/04/2020,2746,3344
05/05/2020,2712,3392
05/06/2020,2617,3336
05/07/2020,2762,3334
05/08/2020,2722,3448
05/09/2020,1605,2294
05/10/2020,1364,1787
05/11/2020,2690,3336
05/12/2020,2858,3618
05/13/2020,2934,3566
05/14/2020,2722,3603
05/15/2020,2887,3729
05/16/2020,1717,2584
05/17/2020,1438,1933
05/18/2020,3078,3673
05/19/2020,3156,3664
05/20/2020,3145,3825
05/21/2020,3217,3868
05/22/2020,3344,3992
05/23/2020,1757,2382
05/24/2020,1433,2051
05/25/2020,1852,2500
05/26/2020,3392,4040
05/27/2020,3663,4173
05/28/2020,3342,4162
05/29/2020,3245,4009
05/30/2020,1877,2697
05/31/2020,1587,2149
06/01/2020,3489,4166
06/02/2020,3836,4536
06/03/2020,3602,4289
06/04/2020,3957,4637
06/05/2020,3877,4528
06/06/2020,2479,3126
06/07/2020,1872,2378
06/08/2020,4007,4610
06/09/2020,4421,5065
06/10/2020,4431,5034
06/11/2020,3994,4679
06/12/2020,4634,5368
06/13/2020,2565,3403
06/14/2020,2077,2585
06/15/2020,4719,5172
06/16/2020,4836,5380
06/17/2020,4889,5476
06/18/2020,4774,5465
06/19/2020,5081,5667
06/20/2020,2742,3502
06/21/2020,2169,2681
06/22/2020,5077,5723
06/23/2020,5309,5706
06/24/2020,5300,5896
06/25/2020,5567,6224
06/26/2020,5496,6247
06/27/2020,2960,3771
06/28/2020,2614,3086
06/29/2020,5707,6243
06/30/2020,5552,6315
